2026-04-18 02:49:23.435 [main] INFO  com.mm.KafkaProducerApplication - Starting KafkaProducerApplication using Java 20 with PID 16788 (C:\Users\shubh\IdeaProjects\kafka-learning\kafka-producer\target\classes started by shubh in C:\Users\shubh\IdeaProjects\kafka-learning)
2026-04-18 02:49:23.437 [main] INFO  com.mm.KafkaProducerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-18 02:49:24.642 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-18 02:49:24.656 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-18 02:49:24.661 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-18 02:49:24.661 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-04-18 02:49:24.747 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-18 02:49:24.748 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1242 ms
2026-04-18 02:49:25.224 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-18 02:49:25.249 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-04-18 02:49:25.263 [main] INFO  com.mm.KafkaProducerApplication - Started KafkaProducerApplication in 2.626 seconds (process running for 3.331)
2026-04-18 03:01:30.453 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-18 03:01:30.455 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-18 03:01:30.459 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2026-04-18 03:01:41.123 [http-nio-8080-exec-6] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:01:41.375 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 8
2026-04-18 03:04:03.584 [http-nio-8080-exec-2] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:04:03.631 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 9
2026-04-18 03:48:05.035 [http-nio-8080-exec-8] INFO  com.mm.controller.MessageController - HTTP response: Message sent successfully to topic: mayur-test
2026-04-18 03:48:05.050 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.KafkaProducerService - ✓ Message sent successfully to topic: mayur-test - Partition: 1, Offset: 10
