2026-04-19 00:25:19.558 [main] INFO  com.mm.KafkaProducerApplication - Starting KafkaProducerApplication using Java 20 with PID 13592 (C:\Users\shubh\IdeaProjects\kafka-learning\kafka-producer\target\classes started by shubh in C:\Users\shubh\IdeaProjects\kafka-learning)
2026-04-19 00:25:19.565 [main] INFO  com.mm.KafkaProducerApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-19 00:25:20.802 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-19 00:25:20.814 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-19 00:25:20.817 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-19 00:25:20.817 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2026-04-19 00:25:20.882 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-19 00:25:20.883 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1255 ms
2026-04-19 00:25:21.383 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-19 00:25:21.404 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-04-19 00:25:21.413 [main] INFO  com.mm.KafkaProducerApplication - Started KafkaProducerApplication in 2.649 seconds (process running for 3.333)
2026-04-19 00:28:16.564 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-19 00:28:16.564 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-19 00:28:16.568 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2026-04-19 00:28:18.763 [http-nio-8080-exec-2] INFO  com.mm.controller.OrderController - HTTP response: Order published successfully - Order ID: ORD-2026-001
2026-04-19 00:28:18.853 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.OrderProducerService - ✓ Order sent successfully to topic: order-events - Order ID: ORD-2026-001, Partition: 0, Offset: 0
2026-04-19 00:30:31.226 [http-nio-8080-exec-5] INFO  com.mm.controller.OrderController - HTTP response: Order published successfully - Order ID: ORD-2026-002
2026-04-19 00:30:31.264 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.OrderProducerService - ✓ Order sent successfully to topic: order-events - Order ID: ORD-2026-002, Partition: 0, Offset: 1
2026-04-19 00:30:42.586 [http-nio-8080-exec-6] INFO  com.mm.controller.OrderController - HTTP response: Order published successfully - Order ID: ORD-2026-003
2026-04-19 00:30:42.597 [kafka-producer-network-thread | producer-1] INFO  com.mm.service.OrderProducerService - ✓ Order sent successfully to topic: order-events - Order ID: ORD-2026-003, Partition: 0, Offset: 2
